[19:55:46] [main/INFO]: Loading Minecraft 1.20.4 with Fabric Loader 0.15.11
[19:55:46] [main/INFO]: Loading 4 mods:
	- fabricloader 0.15.11
	   \-- mixinextras 0.3.5
	- java 21
	- minecraft 1.20.4
[19:55:46] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/workspaces/meowtrying/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.13.3+mixin.0.8.5/sponge-mixin-0.13.3+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[19:55:57] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:138) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:112) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:470) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.15.11.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[fabric-server-launch.jar:1.0.1]
[19:55:58] [main/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[19:55:59] [main/INFO]: No existing world data, creating new world
[19:56:02] [main/INFO]: Loaded 7 recipes
[19:56:03] [main/INFO]: Loaded 1271 advancements
[19:56:05] [Server thread/INFO]: Starting minecraft server version 1.20.4
[19:56:05] [Server thread/INFO]: Loading properties
[19:56:05] [Server thread/INFO]: Default game type: SURVIVAL
[19:56:05] [Server thread/INFO]: Generating keypair
[19:56:06] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:56:06] [Server thread/INFO]: Using epoll channel type
[19:56:06] [Server thread/INFO]: Preparing level "world"
[19:56:25] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:56:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:56:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
